Part Number,Product Description,Category
13-1001-30-LC/LC,Tough Fiber Optic Patch Cable - LC-LC-M/M-D-62.5/125 MICRON - 3.0 meter,Network Cables
13-1001-50-LC/LC,Tough Fiber Optic Patch Cable - LC-LC-M/M-D-62.5/125 MICRON - 5.0 meter,Network Cables
13-1001-30-LC/SC,Tough Single Mode Fiber Patch Cord (LC/SC) - 3.0 meter,Network Cables
13-1001-50-LC/SC,Tough Single Mode Fiber Patch Cord (LC/SC) - 5.0 meter,Network Cables
13-1001-100-LC/SC,Tough Single Mode Fiber Patch Cord (LC/SC) - 10.0 meter,Network Cables
13-1001-50-ST/ST,Tough Fiber Optic patch Cord ST/ST Multimode -5 meter,Network Cables
61-06TNB2-A13,PDU 19inch 6port UK socket output A13,Server Rack PDU
61-06TNB2-C13,Tough 6 Way 13A 250V 50/60Hz Power Distribution Outlet with CE Approval c/w C13 plug,Server Rack PDU
61-06TNB2-C14,PDU 19inch 6port  UK socket output C14 ,Server Rack PDU
61-06UNIV-A13,PDU 6port Universal with A13 plug,Server Rack PDU
61-06NNBI-A13,PDU 19inch 6port UK C19 socket output A13,Server Rack PDU
61-08FFBI-A13,PDU 19inch 8port UK C13 socket output A13,Server Rack PDU
61-10FFBI-A13,PDU 19inch 10port UK C13 Socket output A13 ,Server Rack PDU
61-12FFBI-A13,PDU 19inch 12port UK C13 Socket output A13 ,Server Rack PDU
61-12PNB2-A13,PDU 12port UK socket output A13,Server Rack PDU
61-12PNB2-CF,PDU 12port UK socket output C Form,Server Rack PDU
61-12UNIV-A13,PDU 12Port Universal with socket output A13--NEW,Server Rack PDU
61-13PNBW-A13,Tough 13 Way 13A  250V 50/60Hz Power Distribution Outlet with CE Approval,Server Rack PDU
61-12-8C13-4C19-A13,Tough vertical 8way IEC13 socket & 4way IEC19 socket with CE Approval,Server Rack PDU
61-06PNB2P-A13,Tough 6 ways UK Circuit Breaker Power Socket,Server Rack PDU
61-12PNB2P-A13,Tough 12 ways UK Circuit Breaker Power Socket,Server Rack PDU
61-12PNB2-C32A," 12 way PDU 32A UK 3Pin , input C Form 32A ",Server Rack PDU
61-06TNB2-C32A ,"6 way PDU 32A UK 3PIN , input C Form 32A ",Server Rack PDU
61-12-10C13/2C19-C32A ,"12 way PDU 32A (10) C13 (2) C19, input C Form 32A ",Server Rack PDU
"
61-24TNB2-C20 ","24 ways 13A Power Distribution Outlet with C20 Input, 3M cable",Server Rack PDU
61-24TNB2-A13 ,"24 ways 13A Power Distribution Outlet with 13A Input, 3M cable",Server Rack PDU
61-24-20C13-4C19-A32,"24 way PDU 32A (20) C13 (4) C19, input C Form 32A ",Server Rack PDU
61-62-CX-B-FT,Tough CX Series Fixed Tray for Size 1200(D)mm Equipment Rack - Black,Server Rack Tray
61-60-CX-B-FT,Tough CX Series Fixed Tray for Size 1000(D)mm Equipment Rack - Black ,Server Rack Tray
61-60-CX-B-ST,Tough CX Series Sliding Tray for Size 1000(D)mm Equipment Rack - Black ,Server Rack Tray
61-60-CX-B-KT,Tough CX Series Keyboard Tray for Size 1000(D)mm Equipment Rack - Black ,Server Rack Tray
61-68-CX-B-FT,Tough CX Series Fixed Tray for Size 800(D)mm Equipment Rack - Black ,Server Rack Tray
61-68-CX-B-ST,Tough CX Series Sliding Tray for Size 800(D)mm Equipment Rack - Black ,Server Rack Tray
61-68-CX-B-KT,Tough CX Series Keyboard Tray for Size 800(D)mm Equipment Rack - Black ,Server Rack Tray
61-66-CX-B-FT,Tough CX Series Fixed Tray for Size 600(D)mm Equipment Rack - Black ,Server Rack Tray
61-66-CX-B-ST,Tough CX Series Sliding Tray for Size 600(D)mm Equipment Rack - Black ,Server Rack Tray
61-66-CX-B-KT,Tough CX Series Keyboard Tray for Size 600(D)mm Equipment Rack - Black ,Server Rack Tray
61-64-CX-BWM-FT,Tough CX Series Fixed Tray for Size 450(D)mm Wall Mount Cabinet - Black,Server Rack Tray
61-66-CX-BWM-FT,Tough CX Series Fixed Tray for Size 600(D)mm Wall Mount Cabinet - Black,Server Rack Tray
61-66-CX-BDW-FT,Tough CX Series Fixed Tray for Size 600(D)mm Double Section Wall Mount Cabinet - Black,Server Rack Tray
61-3042-N162-A1,Tough N Series Fixed Tray for Size 1000(D)mm Server Rack,Server Rack Tray
61-3042-N162-A5,Tough N Series 550mmFixed Tray for Size 1100(D)mm Server Rack ,Server Rack Tray
61-3042-N162-A4,Tough N Series 670mmFixed Tray for Size 1100(D)mm Server Rack ,Server Rack Tray
61-3042-N162-A3,Tough N Series Slinding Tray for Size 1000(D)mm Server Rack,Server Rack Tray
61-3042-N162-A2,Tough N Series Keyboard Tray for Size 1000(D)mm Server Rack,Server Rack Tray
61-64-CX-B-L,Tough CX Series L Shaped Chassis Runner for Size 450mm(D) Wall Mount Cabinet,Server Rack Accessories
61-66-CX-B-L,Tough CX Series L Shaped Chassis Runner for Size 600mm(D) Equipment Rack,Server Rack Accessories
61-CX-BG-FD,Tough CX Series Front Tinder Glass Door with Swing Lock (Standing Rack),Server Rack Accessories
61-CX-BG-RD,Tough CX Series Rear Tinder Glass Door with Swing Lock (Standing Rack),Server Rack Accessories
61-CX-BP-FD,Tough CX Series Perforated Front Door with Swing Lock (Standing Rack),Server Rack Accessories
61-CX-BP-RD,Tough CX Series Perforated Rear Door with Swing Lock (Standing Rack),Server Rack Accessories
61-CX-BM-FD,Removable Front Perforated Door with Lock (Wall Mount),Server Rack Accessories
61-CX-BM-RD,Removable Rear Metal Door with Lock (for DW Wall Mount),Server Rack Accessories
61-CX-BM-FD,Removable Front Glass Door with Lock (Wall Mount),Server Rack Accessories
61-CX-BWM-SD,Tough CX Wall Mount Side Door,Server Rack Accessories
61-N-BM-FD,Tough Front mesh door (only for N-series),Server Rack Accessories
61-N-BM-RD,Tough Rear Mesh Door (only for N-series),Server Rack Accessories
61-CX-CL,Tough CX Series Cam Lock (Wall Mount & Side Panel),Server Rack Accessories
61-CX-SL,Tough CX Series Swing Lock (Standing Rack),Server Rack Accessories
61-3042-N162-W4,Tough Serve Rack Castor Wheel (4pcs/set),Server Rack Accessories
61-3042-N162-L4,Tough Server Rack Levelling Stand (4pcs/set),Server Rack Accessories
61-3042-N162-A6SW,Tough Server Rack M6 Screw with washer c/w M6 Cage Nuts (50sets /pack),Server Rack Accessories
61-3042-N162-A7,Shunting Ring (Cable Ring),Server Rack Accessories
61-3042-N162-A8,Bottom Cylinder Clip for Rack Door,Server Rack Accessories
61-3042-N162-A9,Upper L shape Clip for Rack Door,Server Rack Accessories
61-CX-B-CT,"Tough 4"" Vertical Cable Tray, Height 1.8m",Server Rack Accessories
