Part Number,Product Description,Category
62-1200-075,Tough AdjustableBracket for LCD Monitor - 75mm x 75mm,LCD Equipment
62-1200-00,Tough AdjustableBracket for LCD Monitor - 100mm x 100mm,LCD Equipment
68-600-B,Tough Wall Mount Bracket VESA 600mm x 400mm,LCD Equipment
68-400-B,Tough Wall Mount Bracket VESA 400mm x 400mm,LCD Equipment
61-WM-1U-B,Tough 1U Wall Mount Bracket,LCD Equipment
68-P200-B,Tough Dual Rotation POS Stand - Black,LCD Equipment
68-P100-B,Tough Single Rotation POS Stand - Black,LCD Equipment
68-S1-30,Tough Hydronic Single LCD Monitor Arm,LCD Equipment
68-S1-31,Tough Hydronic Single LCD Monitor Arm (shorter),LCD Equipment
68-S1-35,Tough Hydronic Wall Mount Single LCD Monitor Arm (shorter),LCD Equipment
68-S1-36,Tough Hydronic Wall Mount Single LCD Monitor Arm with Longer length,LCD Equipment
68-S1-35-NB,Tough Hydronic Wall Mount Single Laptop LCD Arm,LCD Equipment
68-S105-S,Tough LCD Wall Mount Arm,LCD Equipment
68-SL12-UB,Tough Single LCD monitor arm with USB & headset plug integrated ,LCD Equipment
68-S2-30,Tough Hydronic Dual LCD Monitor Arm,LCD Equipment
68-S4-30,Tough Hydronic 4 Side-by-Side LCD Monitor Arm,LCD Equipment
68-S2-20,Tough Hydronic Dual Side-by-Side LCD Monitor Arm,LCD Equipment
68-S2-40,Tough Dual Hydronic LCD Arm for LCD and Notebook ,LCD Equipment
68-L1-10,Tough Vertical LCD Stand,LCD Equipment
68-L1-20,Tough Vertical LCD Stand (Mount) ,LCD Equipment
68-L2-20,Tough Dual Vertical LCD Stand,LCD Equipment
68-L2-40,Tough Dual LCD Stand,LCD Equipment
68-L3-10,Tough Triple Three LCD Stand,LCD Equipment
68-L4-10,Tough Quad LCD Stand,LCD Equipment
68-L6-10,Tough Sextuple LCD Stand,LCD Equipment
68-A1-30,Tough Hydronic LCD Arm for Apple,LCD Equipment
68-NB1-30,Tough Hydronic Laptop LCD Arm ,LCD Equipment
68-NB1-31,Tough Hydronic Laptop LCD Arm (Shorter),LCD Equipment
63-WMS2-S,Tough wall mount system - single LCD arm with CPU holder and keyboard - Sliver color,LCD Equipment
63-WMS1-S,Tough wall mount system - hydraulic single LCD arm with CPU holder and keyboard - Sliver color,LCD Equipment
63-WMS3-S,"Tough wall mount system with cable management and computer accessories included (keyboard tray, CPU holder and Printer holder)",LCD Equipment
63-PC1601-SUK,Tough Monitor Mobile Cart -  Silver,Mobile Equipment 
63-PC100-SUK,Tough Notebook Mobile Cart -  Silver,Mobile Equipment 
63-CPU001-SUK,"Tough CPU holder, Silver",Mobile Equipment 
63-PRT001-SUK,"Tough Printer holder, Silver",Mobile Equipment 
63-STR001-SUK,"Tough Storage box, Silver",Mobile Equipment 
63-KB001-SUK,"Tough Keyboard Tray for Mobile Cart, Silver",Mobile Equipment 
 63-PC1602-SUK,Tough Dual Monitor Mobile Cart - Silver,Mobile Equipment 
CN-H01,Tough Hospital/Medical Mobile Rack (MOQ-3unts),Mobile Equipment 
63-UT15-B,Tough Charging Tablet Trolley Cart ,Charging Cart
M30-AP,Tough Mobile Charging Cart 30 Devices (PDU),Charging Cart
M30-USB,Tough Mobile Charging Cart 30 Devices with C-port Charging,Charging Cart
68-I1-23DS,"Tough iPad Desktop Stand for iPad 2/3/4 and Ipad Air, with Cable Lock ",Tablet Equipment 
68-I1-22FS,"Tough iPad Floor Stand for iPad 2/3/4, with Cable Lock ",Tablet Equipment 
68-I1-28FS,"Tough Adjustable iPad Floor Stand for iPad 2/3/4, with Cable Lock ",Tablet Equipment 
68-I1-26WM,"Tough iPad Wall Mount Holder for iPad 2/3/4, without Cable Lock ",Tablet Equipment 
68-201U-B,Tough Universal Tablet Stand - Black Colour,Tablet Equipment 
60-2102-1U,Tough 1U Chassis For Mother Board w/o Power Supply (1 x PS/2 Port)                                                                     Dimension: 510(D) x 430(W) x 45(H)mm,Dcom Casing
60-2105-1U,"Tough 1U Chassis for CPU Card w/o Power Supply (2 x USB Port, 1 x PS/2 Port)                                                            Dimension: 510(D) x 430(W) x 45(H)mm",Dcom Casing
60-2272-2U,Tough 2U Chassis for Mother Board w/o Power Supply Dimension: 470(D) x 430(W) x 90(H)mm,Dcom Casing
60-2291-2U,Tough 2U Chassis for CUP Card w/o Power Supply Dimension: 450(D) x 430(W) x 90(H)mm,Dcom Casing
60-6380-MB,Tough 3U Chassis for Motherboard w/o Power Supply Dimension: 385(D) x 433(W) x 135(H)mm,Dcom Casing
60-2301-PT,"Tough Micro Chassis c/w 1xFan, w/o Power Supply Dimension: 400(D) x 380(W) x 150(H)mm",Dcom Casing
60-IY1S,"Tough ATX Tower Case c/w 1xFan, w/o Power Supply Dimension(mm): D–485(450)   W–190    H–440 ",Dcom Casing
60-AP2S,"Tough ATX Tower Case c/w 1xFan, w/o Power Supply Dimension(mm): D–485(450)   W–190    H–440 ",Dcom Casing
60-AC10-20,Tough ATX Aluminum PC Case Dimension: W-184 x H-373 x D-389mm,Dcom Casing
60-AC30-20,Tough ATX Aluminum PC Case Dimension: W-192 x H-423 x D-474mm,Dcom Casing
60-3400-HC,Tough Server Tower Chassis c/w 1x12cm Fan & 2x 8cm Fan – w/o Power Supply                                                Dimension(mm): D-595    W-220    H-425,Dcom Casing
60-6380-MB,Tough 3U Chassis for Motherboard w/o Power Supply Dimension: 385(D) x 433(W) x 135(H)mm,Dcom Casing
60-6402-MB,"Tough 4U Chassis c/w 2xfan, w/o Power Supply Dimension: 455(D) x 440(W) x 180(H)mm",Dcom Casing
60-2072-104,Tough Chassis for CPU Card w/o Power supply Dimension: 220(D) x 235(W) x 162(H)mm,Dcom Casing
60-2208-6SS,Tough 6 Slots P4 Chassis for CPU Card Dimension: 290(D) x 190(W) x 180(H)mm,Dcom Casing
60-2210-6SX,Tough Chassis-6 slots Case for CPU Card  Dimension: 410(D) x 170(W) x 190(H)mm,Dcom Casing
60-2222-6S,Tough Chassis-6 Slots for CPU Card w/o Power Supply Dimension: 400(D) x 200(W) x 220(H)mm,Dcom Casing
60-2608-10,Tough 10 Slot Chassis w/o Power supply Dimension: 410(D) x 330(W) x 174(H)mm,Dcom Casing
RM214000,Chenbro Server Chassis for 6HDDS Dimension: 620(D) x 435(W) x 90(H)mm,Dcom Casing
RM216000,Chenbro Server Chassis for 3HDDS Bays - come with backplane Dimension: 620(D) x 435(W) x 90(H)mm,Dcom Casing
PCI302,Chenbro PCI Riser Card for Chenbro RM 216000 Server Chassis,Dcom Casing
63-501-EB,Tough Standing Desk Working Space - Black Max Loading Capacity : 23.1kg/unit  Operate by Motor,Electric Table
