Part Number,Product Description,Category
01-1001-AM/BM-15,Tough USB Printer Cable AM/BM - 1.5 meters,Cable Accessories
01-1001-AM/BM-18,Tough USB Printer Cable AM/BM - 1.8 meters ,Cable Accessories
01-1001-AM/BM-18,Tough USB Printer Cable AM/BM - 3.0 meters ,Cable Accessories
01-1001-AM/BM-50,Tough USB Printer Cable AM/BM - 5.0 meters ,Cable Accessories
01-1001-USB/CN36-12,Tough USB to Printer Cable (Parallel Cable - 36pin) - 1.2 meters ,Cable Accessories
01-1001-DB25/CN36-12,Tough Printer Cable DB25M/CN36M 18 Conductors Thumbscrew - 1.2 meters ,Cable Accessories
01-1001-DB25/CN36-15,Tough Printer Cable DB25M/CN36M 18 Conductors Thumbscrew - 1.5 meters,Cable Accessories
01-1001-DB25/CN36-30,Tough Printer Cable DB25M/CN36M 18 Conductors Thumbscrew - 3.0 meters,Cable Accessories
01-1001-DB25/CN36-50,Tough Printer Cable DB25M/CN36M 18 Conductors Thumbscrew - 5.0 meters,Cable Accessories
01-1001-DB25MM-20,Tough DB25M/M Parallel Printer Cable - 2.0 meter,Cable Accessories
01-1001-DB25MM-30,Tough DB25M/M Parallel Printer Cable -  3.0 meter,Cable Accessories
01-1001-DB25MF-30,Tough DB25M/F Parallel Printer Cable -  3.0 meter,Cable Accessories
01-1001-AM/BM-08,Tough USB Retractable Printer Cable AM/BM - 0.8 meters,Cable Accessories
01-1001-A5-08,Tough USB Retractable Cable for Digital Camera - 0.8 meters,Cable Accessories
01-1001-AM/M5-20,Tough v2.0 USB AM to Mini 5pin Extension Cable - 2.0 meters,Cable Accessories
01-1001-2AM/M5-Y-10,"Tough 2x type AM to 1x Mini 5pin USB ""Y"" Cable - 1meter",Cable Accessories
01-1001-2AF/M5-03,"Dual USB Type A ""F"" to 5Pin Housing with Bracket - 30cm",Cable Accessories
01-1002-AM/BM-15,Tough USB v3.0 Cable AM/BM - Blue - 1.5meter,Cable Accessories
01-1002-AM/AM-15,Tough USB v3.0 Cable AM/AM - Blue - 1.5meter,Cable Accessories
01-1002-AM/AF-15,Tough USB v3.0 Extension Cable AM/AF - Blue - 1.5meter,Cable Accessories
01-1002-AM/AF-150,Tough USB v3.0 Extension Cable AM/AF -  - 15meter,Cable Accessories
01-1002-AM/MBM-15,Tough USB v3.0 AM to Micron BM Cable - Blue - 1.5meter,Cable Accessories
01-1002-AM/AM-30+U3-AF/BM,Tough USB v3.0 AM-AM 3Meters Cable + USB3.0 AF-BM Converter,Cable Accessories
01-1501MIH-AD,Tough Mini HDMI to HDMI adaptor,Cable Accessories
01-2001-AM/M-15,Tough USB2.0 Cable AM/AM - Black - 1.5 meter ,Cable Accessories
01-2001-AM/M-20,Tough USB2.0 Cable AM/AM - Black - 2.0 meter ,Cable Accessories
01-2001-AM/M-30,Tough USB2.0  Cable AM/AM - Black - 3.0 meter ,Cable Accessories
01-2001-AM/M-50,Tough USB2.0 Cable AM/AM - Black - 5.0 meter ,Cable Accessories
01-2001-AM/M-100,Tough USB2.0 Cable AM/AM - Black - 10.0 meter ,Cable Accessories
01-2002-USBEAM/F-10,Tough USB2.0 Extension Cable AM/AF - White - 1.0 meter ,Cable Accessories
01-2002-USBEAM/F-18,Tough USB2.0 Extension Cable AM/AF - Black - 1.8 meter,Cable Accessories
01-2002-USBEAM/F-30,Tough USB2.0 Extension Cable AM/AF - Black - 3.0 meter,Cable Accessories
01-2002-USBEAM/F-50,Tough USB2.0 Extension Cable AM/AF - Black - 5.0 meter,Cable Accessories
01-2002-USBEAM/F-100,Tough USB2.0 Extension Cable AM/AF - Black - 10.0 meter,Cable Accessories
01-2002-USBEAM/F-200,Tough USB2.0 Extension Cable AM/AF - Black - 20.0 meter,Cable Accessories
01-2003-2xAM/AF-10,Tough 2Head USB2.0 Extension Cable AM/AF - Black - 1.0 meter ,Cable Accessories
01-3001-FW66-20,Tough FireWire 1394 6pin/6pin Black (HDD to PC) - 2.0 meters,Cable Accessories
01-3001-FW66-30,Tough FireWire 1394 6pin/6pin Black (HDD to PC) - 3.0 meters,Cable Accessories
01-3001-FW66-50,Tough FireWire 1394 6pin/6pin Black (HDD to PC) - 5.0 meters ,Cable Accessories
01-3001-FW99-20,Tough FireWire 1394 9pin/9pin Black (HDD to PC) - 2.0 meters,Cable Accessories
03-1001-KVMS-18,"KVM Switch Cables (Monitor M/F, PS/2 M/M) or (Monitor & P/S2 M/F) - 1.8meter",Cable Accessories
03-1001-KVMS-30,"KVM Switch Cables (Monitor M/F, PS/2 M/M) or (Monitor & P/S2 M/F) - 3meter",Cable Accessories
03-1001-KVMS-50,"KVM Switch Cables (Monitor M/F, PS/2 M/M) or (Monitor & P/S2 M/F) - 5meter",Cable Accessories
03-1002-20,Tough KVM Cable - VGA+MOS+K/B to VGA+MOS+K/B - 2 meter,Cable Accessories
03-1002-30,Tough KVM Cable  - VGA+MOS+K/B to VGA+MOS+K/B - 3 meter,Cable Accessories
03-1002-50,Tough KVM Cable  - VGA+MOS+K/B to VGA+MOS+K/B - 5 meter,Cable Accessories
03-1002-100,Tough KVM Cable  - VGA+MOS+K/B to VGA+MOS+K/B - 10 meter,Cable Accessories
03-1003-USB/KVM-18,USB KVM Switch Cable (Compatible for Aten switch: CS-1708 & CS-1716) - 1.8meter,Cable Accessories
03-1003-USB/KVM-30,USB KVM Switch Cable (Compatible for Aten switch: CS-1708 & CS-1716) - 3.0meter,Cable Accessories
04-1001-PS/2E-20,Tough PS/2 Extension Cable - M/F or M/M - Belge Colour - 2.0meter,Cable Accessories
04-1001-PS/2E-30,Tough PS/2 Extension Cable - M/F or M/M - Belge Colour - 3.0meter,Cable Accessories
04-1001-PS/2E-30,Tough PS/2 Extension Cable - M/F or M/M - Belge Colour - 3.0meter,Cable Accessories
04-1001-PS/2E-50,Tough PS/2 Extension Cable - M/F or M/M - Belge Colour - 5.0meter,Cable Accessories
04-1001-PS/2-Y,"Tough PS/2 ""Y"" Cable M-F/F",Cable Accessories
05-1001-DB9-M/M-12,Tough DB9 Serial Male to Male 9-Pin Extension Cable - 1.2 meter,Cable Accessories
05-1001-DB9-M/F-20,Tough DB9 Serial Male to Female 9-Pin Extension Cable - 2.0 meter,Cable Accessories
05-1001-DB9-M/F-30,Tough DB9 Serial Male to Female 9-Pin Extension Cable - 3.0 meter,Cable Accessories
05-1001-DB9-M/M-50,Tough DB9 Serial Male to Male 9-Pin Extension Cable - 5.0 meter,Cable Accessories
05-1001-DB9-M/F-50,Tough DB9 Serial Male to Female 9-Pin Extension Cable - 5.0 meter,Cable Accessories
05-1001-DB9-M/F-100,Tough DB9 Serial Male to Female 9-Pin Extension Cable - 10.0 meter,Cable Accessories
05-1002-DB9/USB-12,Tough USB to DB9(RS232) Adapter - 1.2 meter,Cable Accessories
05-1002-DB9/USB-15,Tough USB to DB9(RS232) Adapter - 1.5 meter,Cable Accessories
05-1002-DB9/USB-20,Tough USB to DB9(RS232) Adapter - 2.0 meter,Cable Accessories
05-1003-DB9/DB25-00,Tough Adapter - DB9M/DB25F or DB9M/DB25M,Cable Accessories
05-1003-DB25/DB25-00,Tough Adapter DB25M/M or DB25M/F,Cable Accessories
05-1003-DB9/DB9-00,"Tough Adapter - DB9 - M/M, M/F, F/F",Cable Accessories
06-1001-VGA-022,Tough VGA(RGB) Cable 15pin MM - 22cm (for Case 072),Cable Accessories
06-1001-VGA-18,Tough VGA(RGB) Cable (F/M) or (M/M) - 1.8 meter,Cable Accessories
06-1001-VGA-20,Tough VGA(RGB) Cable (F/M) or (M/M) - 2.0 meter,Cable Accessories
06-1001-VGA-30,Tough VGA(RGB) Cable (F/M) or (M/M) - 3.0 meter,Cable Accessories
06-1001-VGA-50,Tough VGA(RGB) Cable (F/M) or (M/M) - 5.0 meter,Cable Accessories
06-1001-VGA-100,Tough VGA(RGB) Cable (F/M) or (M/M) - 10.0 meter,Cable Accessories
06-1001-VGA-150,Tough VGA(RGB) Cable (F/M) or (M/M) - 15.0 meter,Cable Accessories
06-1001-Y1,"Tough VGA  ""Y"" Cable - 1/Male to 2/Female",Cable Accessories
07-1001-07,Tough - 25Pin Mini Gender Changer (Male/Male) or (Female/Female),Cable Accessories
07-1001-08,Tough - 15Pin Mini Gender Changer (Male/Male) or (Female/Female),Cable Accessories
07-1001-09,Tough - 9Pin Mini Gender Changer (Male/Male) or (Female/Female),Cable Accessories
08-1001-30,Tough IEEE 488 GPIB  Cable - 3meters,Cable Accessories
08-1001-50,Tough IEEE 488 GPIB Cable - 5meters,Cable Accessories
09-1001-06FF,Tough IDE Cable - 60cm,Cable Accessories
09-1001-10FF,Tough IDE Cable - 100cm,Cable Accessories
09-1001-11FF,Tough IDE Cable - 110cm,Cable Accessories
09-2002-044,Tough SATA DATA Cable - HDD to Motherboard - 0.44 meter,Cable Accessories
09-2002-100,Tough SATA DATA Cable - HDD to Motherboard - 1 meter,Cable Accessories
09-2002-200,Tough SATA DATA Cable - HDD to Motherboard - 2 meter,Cable Accessories
09-2002-05L,"Tough SATA DATA Cable - HDD to Motherboard - ""L"" Shape, Right Angle - 0.5 meter",Cable Accessories
09-2002-10L,"Tough SATA DATA Cable - HDD to Motherboard - ""L"" Shape, Right Angle - 1 meter",Cable Accessories
09-2002-20L,"Tough SATA DATA Cable - HDD to Motherboard - ""L"" Shape, Right Angle - 2 meter",Cable Accessories
09-2003-030,Tough SATA Power Cable - HDD to Power Supply - 0.3 meter,Cable Accessories
09-2003-019Y,"Tough SATA Power cable - HDD to Power Supply ""Y"" Cable - 0.19 meter",Cable Accessories
09-2003-030Y,"Tough SATA Power cable - HDD to Power Supply ""Y"" Cable - 0.3 meter",Cable Accessories
09-SFF8088-2xSFF8482-10,External Mini SAS 26pin SFF-8088 to 2* SFF-8482 29pin SAS Drive Connector - 1meter,Cable Accessories
09-SFF8088-4xSFF8482-10,External Mini SAS 26pin SFF-8088 to 4* SFF-8482 29pin SAS Drive Connector - 1meter,Cable Accessories
